epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9605,1.99139,10.9128,0.00561,0.38403,0.42472,0.38831,0.24683,1.35539,4.97654,0.00524,0.000328358,0.000328358,0.000328358
2,50.0247,1.32325,2.12206,0.00336,0.67095,0.65461,0.6941,0.48979,1.09898,1.95222,0.00428,0.000660381,0.000660381,0.000660381
3,73.5501,1.29733,1.22726,0.00334,0.71879,0.6804,0.72744,0.50197,1.12692,1.55815,0.00439,0.000991085,0.000991085,0.000991085
4,97.3103,1.31033,1.00957,0.00333,0.72302,0.72062,0.76247,0.51583,1.16382,1.33129,0.00454,0.00099406,0.00099406,0.00099406
5,120.991,1.27609,0.92266,0.00321,0.72594,0.74304,0.78658,0.53457,1.12222,1.19277,0.00434,0.00099208,0.00099208,0.00099208
6,144.934,1.16123,0.83247,0.00301,0.77727,0.75666,0.8206,0.5231,1.29034,1.16912,0.00488,0.0009901,0.0009901,0.0009901
7,168.186,1.10866,0.72676,0.00281,0.8125,0.80072,0.82966,0.55774,1.19778,0.9987,0.00467,0.00098812,0.00098812,0.00098812
8,191.943,1.11857,0.70653,0.00281,0.81835,0.80094,0.85881,0.52901,1.42173,1.10266,0.00591,0.00098614,0.00098614,0.00098614
9,216.268,1.07395,0.65476,0.00267,0.47131,0.4154,0.36489,0.06882,3.22103,2.39073,0.01276,0.00098416,0.00098416,0.00098416
10,240.022,1.15948,0.67189,0.00297,0.81304,0.80271,0.82894,0.53639,1.27283,1.09449,0.005,0.00098218,0.00098218,0.00098218
11,263.246,1.11132,0.65407,0.00283,0.78531,0.76096,0.82577,0.51633,1.32081,1.09957,0.00495,0.0009802,0.0009802,0.0009802
12,287.307,1.11065,0.66897,0.00283,0.796,0.75943,0.82949,0.5633,1.17449,1.08468,0.00459,0.00097822,0.00097822,0.00097822
13,311.28,1.08309,0.60693,0.0027,0.82634,0.82273,0.88433,0.65618,0.98223,0.8332,0.00396,0.00097624,0.00097624,0.00097624
14,334.814,1.06297,0.60581,0.00263,0.8235,0.85025,0.89946,0.71137,0.81681,0.77277,0.00325,0.00097426,0.00097426,0.00097426
15,358.214,1.04302,0.57414,0.00253,0.86063,0.84262,0.91202,0.69662,0.91971,0.7428,0.00364,0.00097228,0.00097228,0.00097228
16,381.902,1.02103,0.57145,0.00257,0.84448,0.76798,0.86082,0.64814,0.9199,0.86388,0.00362,0.0009703,0.0009703,0.0009703
17,405.791,1.00221,0.56179,0.00245,0.84084,0.81879,0.88078,0.6784,0.85493,0.8272,0.00341,0.00096832,0.00096832,0.00096832
18,429.223,0.98867,0.55225,0.00246,0.84219,0.79879,0.87985,0.55487,1.34447,0.9325,0.00519,0.00096634,0.00096634,0.00096634
19,452.736,1.00683,0.54991,0.00249,0.86765,0.84865,0.90791,0.69744,0.87784,0.71487,0.00347,0.00096436,0.00096436,0.00096436
20,476.048,0.91923,0.50599,0.00229,0.83106,0.84812,0.90054,0.70466,0.82784,0.77907,0.00331,0.00096238,0.00096238,0.00096238
21,499.178,0.9201,0.50967,0.00228,0.83615,0.81377,0.86167,0.67212,0.8446,0.87578,0.00335,0.0009604,0.0009604,0.0009604
22,522.438,1.02464,0.56765,0.00264,0.83503,0.81547,0.88185,0.50642,1.5121,0.95709,0.00552,0.00095842,0.00095842,0.00095842
23,545.91,1.00203,0.54843,0.00251,0.84202,0.84863,0.90097,0.69705,0.87356,0.76698,0.0035,0.00095644,0.00095644,0.00095644
