epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9901,2.1413,9.67411,0.00848,0.36193,0.51243,0.43042,0.30214,1.13442,3.49332,0.00412,0.000219355,0.000219355,0.000219355
2,63.3092,1.28916,1.90262,0.00464,0.88702,0.80759,0.89854,0.67407,0.96173,0.95458,0.00359,0.000441062,0.000441062,0.000441062
3,88.3124,1.19847,0.96871,0.00431,0.87219,0.85721,0.9321,0.51696,1.56462,0.82375,0.00552,0.00066189,0.00066189,0.00066189
4,112.935,1.1777,0.75116,0.0042,0.91316,0.83974,0.93112,0.70154,0.91722,0.5854,0.00343,0.000881838,0.000881838,0.000881838
5,137.309,1.18508,0.68712,0.00426,0.92272,0.83611,0.92565,0.42619,1.97036,0.73387,0.00706,0.000992096,0.000992096,0.000992096
6,161.691,1.12886,0.6259,0.00406,0.92042,0.88122,0.96164,0.68758,1.11619,0.4763,0.00431,0.00099012,0.00099012,0.00099012
7,186.035,1.1271,0.579,0.00402,0.92706,0.88517,0.95345,0.55575,1.45868,0.48872,0.00514,0.000988144,0.000988144,0.000988144
8,210.425,1.03265,0.52542,0.00367,0.91898,0.86055,0.95414,0.74916,0.83001,0.4205,0.0031,0.000986168,0.000986168,0.000986168
9,235.049,1.03655,0.51148,0.00373,0.91064,0.88542,0.95438,0.68698,1.12418,0.42602,0.00428,0.000984192,0.000984192,0.000984192
10,259.557,0.98676,0.48423,0.00347,0.90565,0.89827,0.94399,0.65974,1.13703,0.44213,0.00404,0.000982216,0.000982216,0.000982216
11,283.884,1.02944,0.50838,0.00369,0.91891,0.92411,0.97194,0.72402,1.02179,0.36147,0.00387,0.00098024,0.00098024,0.00098024
12,308.264,1.01902,0.46806,0.00362,0.90453,0.89069,0.94299,0.697,1.04126,0.43506,0.00404,0.000978264,0.000978264,0.000978264
13,332.488,1.02624,0.47286,0.00365,0.91649,0.91066,0.95889,0.75606,0.84314,0.3515,0.0032,0.000976288,0.000976288,0.000976288
14,357.02,0.92506,0.43767,0.00333,0.93966,0.9001,0.97077,0.73394,1.01714,0.35436,0.00384,0.000974312,0.000974312,0.000974312
15,381.382,0.94803,0.45586,0.00342,0.93176,0.89473,0.96555,0.74785,0.80499,0.37244,0.00294,0.000972336,0.000972336,0.000972336
16,405.716,0.95704,0.45416,0.00339,0.91659,0.90488,0.95615,0.74042,0.89043,0.3797,0.00334,0.00097036,0.00097036,0.00097036
