epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5167,1.94913,11.2661,0.00589,0.51808,0.47664,0.47778,0.26345,1.50369,4.58277,0.00421,0.000328358,0.000328358,0.000328358
2,59.1977,1.31275,2.1676,0.00363,0.80874,0.76814,0.83923,0.39418,1.79893,1.69325,0.00501,0.000660381,0.000660381,0.000660381
3,82.6733,1.26164,1.27809,0.00353,0.81866,0.77993,0.84992,0.50813,1.43119,1.20682,0.00407,0.000991085,0.000991085,0.000991085
4,106.249,1.17684,1.00175,0.00327,0.77018,0.80518,0.85775,0.4752,1.57009,1.02487,0.00482,0.00099406,0.00099406,0.00099406
5,129.786,1.17343,0.91721,0.00322,0.88695,0.83822,0.92074,0.5835,1.26718,0.81762,0.00361,0.00099208,0.00099208,0.00099208
6,153.416,1.13025,0.83512,0.00318,0.90002,0.84135,0.92762,0.59498,1.24178,0.7464,0.00349,0.0009901,0.0009901,0.0009901
7,176.858,1.0649,0.74509,0.00296,0.91787,0.84808,0.93572,0.63199,1.1557,0.68846,0.0033,0.00098812,0.00098812,0.00098812
8,200.412,1.06771,0.73131,0.00293,0.91652,0.85262,0.93444,0.62196,1.18893,0.70594,0.00341,0.00098614,0.00098614,0.00098614
9,223.71,1.02519,0.67385,0.00278,0.91738,0.8642,0.936,0.6002,1.27031,0.66095,0.00352,0.00098416,0.00098416,0.00098416
10,247.072,1.02783,0.67031,0.00286,0.8746,0.88022,0.94459,0.59463,1.2978,0.67748,0.00362,0.00098218,0.00098218,0.00098218
11,270.454,1.04533,0.64008,0.00291,0.85408,0.86823,0.90029,0.61831,1.12252,0.81422,0.00328,0.0009802,0.0009802,0.0009802
12,293.767,1.0284,0.64088,0.00286,0.89932,0.87235,0.9368,0.66047,1.09971,0.6086,0.00319,0.00097822,0.00097822,0.00097822
13,317.18,1.0373,0.60091,0.00282,0.86763,0.86809,0.92542,0.65969,1.04984,0.68688,0.003,0.00097624,0.00097624,0.00097624
14,340.737,1.03363,0.59833,0.00281,0.87168,0.86667,0.9197,0.51466,1.53722,0.78613,0.00468,0.00097426,0.00097426,0.00097426
15,364.115,1.01016,0.59454,0.00269,0.92928,0.86479,0.9378,0.5534,1.42333,0.67563,0.00427,0.00097228,0.00097228,0.00097228
16,387.719,1.01104,0.6119,0.00273,0.87467,0.89348,0.93435,0.57852,1.32135,0.82387,0.00364,0.0009703,0.0009703,0.0009703
17,411.313,1.01441,0.58044,0.00274,0.95391,0.86044,0.95107,0.70322,0.97797,0.55558,0.00281,0.00096832,0.00096832,0.00096832
18,435.017,0.95803,0.5644,0.0026,0.93609,0.89074,0.9556,0.68769,1.01079,0.5269,0.00291,0.00096634,0.00096634,0.00096634
19,458.458,0.88096,0.56237,0.00238,0.92455,0.89232,0.94095,0.62034,1.22837,0.58909,0.00361,0.00096436,0.00096436,0.00096436
20,481.958,0.9047,0.5573,0.00246,0.90311,0.87078,0.94041,0.66668,1.06935,0.61616,0.00303,0.00096238,0.00096238,0.00096238
