epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1586,1.94415,10.4576,0.00563,0.51773,0.55551,0.5549,0.38653,1.14113,3.63129,0.00363,0.000328767,0.000328767,0.000328767
2,51.9607,1.43821,2.23477,0.00383,0.80191,0.80128,0.8766,0.50667,1.3941,1.5702,0.00422,0.000660789,0.000660789,0.000660789
3,76.4645,1.35162,1.35955,0.00362,0.78571,0.79291,0.8712,0.52795,1.33719,1.18022,0.00406,0.000991492,0.000991492,0.000991492
4,100.679,1.23832,1.07566,0.00336,0.8757,0.87475,0.93107,0.63357,1.11965,0.76243,0.00337,0.00099406,0.00099406,0.00099406
5,125.043,1.20588,0.92994,0.00323,0.91075,0.88161,0.94563,0.67297,1.05215,0.6286,0.00328,0.00099208,0.00099208,0.00099208
6,149.408,1.16335,0.84224,0.00312,0.92684,0.9073,0.9599,0.72476,0.92855,0.53273,0.00301,0.0009901,0.0009901,0.0009901
7,173.92,1.10895,0.75359,0.00296,0.92275,0.91682,0.95163,0.625,1.26208,0.57743,0.0038,0.00098812,0.00098812,0.00098812
8,198.337,1.12751,0.72755,0.00302,0.93272,0.91606,0.95967,0.7564,0.82639,0.46243,0.00258,0.00098614,0.00098614,0.00098614
9,222.718,1.04377,0.68839,0.00282,0.94344,0.92259,0.96665,0.76316,0.81855,0.4421,0.00256,0.00098416,0.00098416,0.00098416
10,247.179,1.06844,0.67354,0.00282,0.94195,0.9225,0.96694,0.74385,0.89928,0.43768,0.00287,0.00098218,0.00098218,0.00098218
11,271.55,1.0693,0.64171,0.0028,0.95007,0.92731,0.96631,0.70487,1.02262,0.45148,0.0031,0.0009802,0.0009802,0.0009802
12,296.025,1.09929,0.63504,0.00291,0.93059,0.90863,0.95148,0.57862,1.42458,0.55797,0.0042,0.00097822,0.00097822,0.00097822
13,320.378,1.03315,0.61196,0.00272,0.94935,0.93645,0.96982,0.7654,0.83964,0.39127,0.00264,0.00097624,0.00097624,0.00097624
14,344.908,1.01496,0.58621,0.00263,0.94017,0.92813,0.96745,0.75633,0.84142,0.3993,0.00261,0.00097426,0.00097426,0.00097426
15,369.404,1.02742,0.58364,0.0027,0.94147,0.94524,0.96565,0.65791,1.18094,0.46513,0.00355,0.00097228,0.00097228,0.00097228
16,394.041,1.00914,0.55089,0.00259,0.96117,0.93871,0.9782,0.78978,0.75333,0.34679,0.00237,0.0009703,0.0009703,0.0009703
17,418.937,0.95842,0.56584,0.00255,0.94629,0.94633,0.97337,0.79344,0.71969,0.36689,0.00227,0.00096832,0.00096832,0.00096832
18,443.5,0.96117,0.55522,0.00254,0.94992,0.93316,0.97083,0.77155,0.79944,0.3926,0.0025,0.00096634,0.00096634,0.00096634
19,468.108,1.00371,0.5703,0.00264,0.95416,0.92041,0.96385,0.60043,1.35,0.49675,0.00401,0.00096436,0.00096436,0.00096436
20,492.587,0.98363,0.5509,0.00263,0.9558,0.9335,0.9742,0.75702,0.8422,0.37548,0.00267,0.00096238,0.00096238,0.00096238
21,517.066,0.96403,0.53758,0.00258,0.94886,0.93213,0.97079,0.77289,0.76734,0.37116,0.00237,0.0009604,0.0009604,0.0009604
22,541.444,0.94453,0.54059,0.0025,0.97055,0.94009,0.97764,0.78434,0.77004,0.35427,0.00244,0.00095842,0.00095842,0.00095842
23,565.963,0.93814,0.52242,0.00249,0.96438,0.92637,0.96715,0.71894,0.95545,0.41273,0.0029,0.00095644,0.00095644,0.00095644
24,590.394,0.931,0.52683,0.00245,0.94703,0.95092,0.97431,0.79426,0.71732,0.33354,0.0022,0.00095446,0.00095446,0.00095446
25,615.05,0.95404,0.50647,0.00254,0.94751,0.94564,0.97235,0.74619,0.87593,0.36943,0.00265,0.00095248,0.00095248,0.00095248
26,639.571,0.90121,0.51469,0.00238,0.95768,0.9403,0.9724,0.76773,0.80705,0.37166,0.00247,0.0009505,0.0009505,0.0009505
27,664.081,0.96384,0.52741,0.00252,0.96063,0.93107,0.97012,0.78329,0.75337,0.36191,0.00237,0.00094852,0.00094852,0.00094852
28,688.788,0.92765,0.51234,0.00244,0.96868,0.94866,0.97643,0.79841,0.72016,0.32687,0.00225,0.00094654,0.00094654,0.00094654
29,713.613,0.8966,0.48443,0.00232,0.94597,0.95168,0.96869,0.75741,0.82556,0.35417,0.00251,0.00094456,0.00094456,0.00094456
30,738.385,0.92422,0.51104,0.00241,0.94722,0.9412,0.96553,0.64823,1.18471,0.45136,0.00352,0.00094258,0.00094258,0.00094258
31,763.042,0.93114,0.50022,0.00247,0.95258,0.93754,0.96704,0.60073,1.38357,0.49592,0.00412,0.0009406,0.0009406,0.0009406
32,787.473,0.93584,0.49391,0.00243,0.95612,0.93727,0.96419,0.57821,1.44877,0.50864,0.00428,0.00093862,0.00093862,0.00093862
33,811.929,0.90897,0.49603,0.00239,0.96116,0.94463,0.96994,0.79096,0.73542,0.34848,0.00232,0.00093664,0.00093664,0.00093664
34,836.407,0.93051,0.4957,0.00244,0.95881,0.94905,0.97469,0.78912,0.73842,0.32808,0.0023,0.00093466,0.00093466,0.00093466
35,860.533,0.85272,0.471,0.00224,0.96196,0.9468,0.97746,0.78518,0.77366,0.3453,0.00242,0.00093268,0.00093268,0.00093268
