epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,861.662,0.99646,0.57972,0.92202,0.96155,0.9458,0.97863,0.70522,0.965,0.49333,0.94059,0.0005941,0.0005941,0.0005941
43,883.798,0.96653,0.58014,0.92014,0.95798,0.95083,0.98027,0.75789,0.82311,0.46864,0.90675,0.0005842,0.0005842,0.0005842
44,904.627,0.97905,0.57988,0.92087,0.94531,0.89968,0.94729,0.36827,2.11018,0.7772,1.32327,0.0005743,0.0005743,0.0005743
45,924.795,0.95279,0.56191,0.91412,0.95658,0.94293,0.97725,0.68821,1.02895,0.50835,0.95273,0.0005644,0.0005644,0.0005644
46,946.702,0.96065,0.56958,0.91567,0.96258,0.93386,0.97803,0.73406,0.90133,0.48696,0.92481,0.0005545,0.0005545,0.0005545
47,966.622,0.97557,0.5695,0.91781,0.97389,0.94108,0.98114,0.70663,0.98359,0.48252,0.94037,0.0005446,0.0005446,0.0005446
48,987.065,0.95986,0.56989,0.91922,0.97399,0.94355,0.9817,0.74963,0.85912,0.45386,0.91658,0.0005347,0.0005347,0.0005347
49,1009.23,0.95463,0.55766,0.91167,0.96689,0.93717,0.97824,0.69313,1.02348,0.49876,0.94816,0.0005248,0.0005248,0.0005248
50,1029.2,0.97052,0.56274,0.91859,0.97158,0.94031,0.98204,0.73703,0.9006,0.45816,0.9215,0.0005149,0.0005149,0.0005149
51,1049.3,0.93624,0.5457,0.91187,0.96261,0.94411,0.98178,0.72086,0.93037,0.47119,0.93304,0.000505,0.000505,0.000505
52,1070.62,0.94199,0.56112,0.91452,0.96444,0.93955,0.98072,0.76027,0.82475,0.46492,0.90532,0.0004951,0.0004951,0.0004951
53,1090.32,0.94389,0.54157,0.91022,0.96111,0.949,0.98304,0.69898,1.01539,0.48448,0.94368,0.0004852,0.0004852,0.0004852
54,1110.16,0.94327,0.54587,0.91035,0.96394,0.94908,0.98252,0.7525,0.84925,0.45176,0.9092,0.0004753,0.0004753,0.0004753
55,1131.32,0.90829,0.53282,0.90865,0.96915,0.94886,0.98391,0.75009,0.85146,0.44285,0.90816,0.0004654,0.0004654,0.0004654
56,1150.81,0.89496,0.5291,0.90513,0.96267,0.95474,0.98372,0.76061,0.81688,0.43484,0.90508,0.0004555,0.0004555,0.0004555
57,1171.19,0.91218,0.53443,0.89892,0.96469,0.94761,0.98206,0.75136,0.85514,0.45903,0.90804,0.0004456,0.0004456,0.0004456
58,1192.1,0.90739,0.52432,0.90903,0.96767,0.94953,0.98108,0.72216,0.93734,0.46259,0.92939,0.0004357,0.0004357,0.0004357
59,1211.53,0.90885,0.52233,0.90532,0.96366,0.93933,0.97892,0.61429,1.28764,0.53606,1.01103,0.0004258,0.0004258,0.0004258
60,1231.39,0.90152,0.52405,0.90622,0.95301,0.95607,0.97987,0.65888,1.12654,0.50076,0.9713,0.0004159,0.0004159,0.0004159
61,1252.45,0.90828,0.52489,0.90019,0.97108,0.95502,0.98465,0.77507,0.80097,0.42708,0.89787,0.000406,0.000406,0.000406
62,1272.35,0.92286,0.52895,0.90398,0.96586,0.95143,0.98198,0.67761,1.09874,0.48757,0.96805,0.0003961,0.0003961,0.0003961
63,1292.1,0.90027,0.50336,0.90411,0.96562,0.94858,0.98142,0.69811,1.00951,0.4707,0.94407,0.0003862,0.0003862,0.0003862
64,1313.32,0.89133,0.50082,0.90313,0.97349,0.95081,0.98236,0.71711,0.95562,0.45438,0.93215,0.0003763,0.0003763,0.0003763
65,1332.77,0.90401,0.50656,0.90341,0.96425,0.94231,0.97893,0.61509,1.27684,0.53021,1.00641,0.0003664,0.0003664,0.0003664
66,1352.08,0.89908,0.50519,0.89906,0.96385,0.95835,0.98406,0.77236,0.79879,0.41488,0.89892,0.0003565,0.0003565,0.0003565
67,1373.33,0.86615,0.49568,0.90037,0.96014,0.94847,0.98167,0.66384,1.12299,0.50469,0.9722,0.0003466,0.0003466,0.0003466
68,1392.82,0.89794,0.50367,0.89972,0.9625,0.95896,0.98402,0.76856,0.80892,0.42237,0.90078,0.0003367,0.0003367,0.0003367
69,1412.26,0.90482,0.50484,0.90273,0.96235,0.95051,0.98193,0.61202,1.29726,0.52965,1.0113,0.0003268,0.0003268,0.0003268
70,1433.41,0.90268,0.50627,0.9003,0.97367,0.95653,0.98462,0.73589,0.90554,0.4299,0.91843,0.0003169,0.0003169,0.0003169
71,1453.18,0.88066,0.49305,0.89862,0.97229,0.95157,0.98378,0.74624,0.8605,0.43036,0.91336,0.000307,0.000307,0.000307
72,1472.79,0.85383,0.491,0.89142,0.97251,0.95707,0.98251,0.76145,0.80937,0.42407,0.90188,0.0002971,0.0002971,0.0002971
73,1494.13,0.88084,0.49334,0.89786,0.96782,0.96064,0.98624,0.72534,0.94886,0.44198,0.92729,0.0002872,0.0002872,0.0002872
74,1514.04,0.87308,0.49556,0.89727,0.96774,0.96453,0.98532,0.74773,0.86473,0.42103,0.91128,0.0002773,0.0002773,0.0002773
75,1533.45,0.86363,0.4863,0.89972,0.96379,0.95954,0.98485,0.76632,0.8091,0.40852,0.89818,0.0002674,0.0002674,0.0002674
76,1554.11,0.8639,0.48565,0.89178,0.97293,0.95399,0.98514,0.70626,1.00012,0.44894,0.93973,0.0002575,0.0002575,0.0002575
77,1574.37,0.86077,0.47965,0.89177,0.96784,0.95279,0.98364,0.68004,1.08255,0.47128,0.96373,0.0002476,0.0002476,0.0002476
78,1594.36,0.87558,0.48871,0.89605,0.97419,0.96199,0.98694,0.72191,0.9586,0.43538,0.92817,0.0002377,0.0002377,0.0002377
79,1615.55,0.84703,0.48019,0.89248,0.97367,0.96211,0.98584,0.7537,0.85114,0.40796,0.90656,0.0002278,0.0002278,0.0002278
80,1635.24,0.84697,0.47136,0.88791,0.97169,0.96403,0.98489,0.73109,0.91729,0.42344,0.92054,0.0002179,0.0002179,0.0002179
81,1654.84,0.83797,0.46868,0.88645,0.96891,0.9597,0.9835,0.72301,0.94681,0.43127,0.92922,0.000208,0.000208,0.000208
82,1675.77,0.84442,0.46825,0.89255,0.96715,0.96389,0.98575,0.74228,0.89592,0.41741,0.91296,0.0001981,0.0001981,0.0001981
83,1695.44,0.82979,0.45968,0.88221,0.97681,0.95362,0.98589,0.70065,1.02871,0.44863,0.94359,0.0001882,0.0001882,0.0001882
84,1714.83,0.83413,0.46252,0.88772,0.97722,0.95381,0.984,0.75107,0.85568,0.41409,0.90765,0.0001783,0.0001783,0.0001783
85,1735.62,0.84176,0.46427,0.88862,0.96996,0.96669,0.98512,0.73798,0.90226,0.40958,0.91581,0.0001684,0.0001684,0.0001684
86,1755.85,0.82716,0.45879,0.88925,0.97269,0.96237,0.98639,0.72982,0.92308,0.41532,0.92147,0.0001585,0.0001585,0.0001585
87,1775.34,0.82173,0.45154,0.8872,0.96901,0.9609,0.98561,0.72297,0.96011,0.42557,0.93042,0.0001486,0.0001486,0.0001486
88,1797.14,0.82473,0.45864,0.88374,0.97334,0.96231,0.98481,0.747,0.88142,0.40882,0.91152,0.0001387,0.0001387,0.0001387
89,1817.42,0.83877,0.45766,0.8881,0.971,0.96261,0.98419,0.68094,1.09774,0.45681,0.95934,0.0001288,0.0001288,0.0001288
90,1837.28,0.8321,0.45433,0.89009,0.97066,0.96544,0.98503,0.75079,0.85554,0.40301,0.90665,0.0001189,0.0001189,0.0001189
91,1860.28,0.80647,0.41068,0.89869,0.96366,0.95607,0.98241,0.66109,1.1589,0.47842,0.97811,0.000109,0.000109,0.000109
92,1878.93,0.77751,0.3934,0.88961,0.96496,0.95772,0.98421,0.72049,0.96086,0.43719,0.92643,9.91e-05,9.91e-05,9.91e-05
93,1897.51,0.76845,0.38376,0.88876,0.96349,0.96045,0.98486,0.70084,1.01837,0.44584,0.94097,8.92e-05,8.92e-05,8.92e-05
94,1917,0.77989,0.39302,0.89318,0.97201,0.95594,0.98457,0.74043,0.89389,0.41329,0.91454,7.93e-05,7.93e-05,7.93e-05
95,1937.01,0.74816,0.37873,0.88681,0.96592,0.96513,0.98517,0.71442,0.98795,0.43162,0.93693,6.94e-05,6.94e-05,6.94e-05
96,1955.55,0.75317,0.38677,0.88339,0.96525,0.96625,0.98389,0.75113,0.86027,0.40453,0.90767,5.95e-05,5.95e-05,5.95e-05
97,1973.77,0.73474,0.37845,0.88147,0.97054,0.96043,0.98459,0.74308,0.88759,0.41085,0.91098,4.96e-05,4.96e-05,4.96e-05
98,1992.63,0.74645,0.37719,0.88091,0.97003,0.96377,0.98544,0.7217,0.95901,0.42198,0.92742,3.97e-05,3.97e-05,3.97e-05
99,2012.51,0.73608,0.37323,0.88483,0.96859,0.96479,0.98482,0.72102,0.96498,0.42583,0.92814,2.98e-05,2.98e-05,2.98e-05
100,2031.16,0.73747,0.37439,0.88156,0.97032,0.96571,0.98477,0.74538,0.88213,0.40592,0.91095,1.99e-05,1.99e-05,1.99e-05
