epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,850.353,0.98283,0.58019,0.9181,0.96022,0.95302,0.98109,0.68888,1.02495,0.49519,0.94459,0.0007228,0.0007228,0.0007228
44,869.282,0.96773,0.57042,0.91634,0.95891,0.95341,0.98462,0.75338,0.8411,0.46344,0.90401,0.0007162,0.0007162,0.0007162
45,888.905,0.97517,0.57717,0.91438,0.97572,0.9525,0.98697,0.76045,0.82212,0.45384,0.9061,0.0007096,0.0007096,0.0007096
46,909.422,0.98518,0.57441,0.91375,0.98064,0.95148,0.98721,0.70378,0.97967,0.47815,0.93855,0.000703,0.000703,0.000703
47,929.071,0.99201,0.58138,0.91981,0.96543,0.949,0.98275,0.72441,0.92684,0.48164,0.92336,0.0006964,0.0006964,0.0006964
48,948.015,0.95363,0.55419,0.912,0.9791,0.95437,0.98509,0.76417,0.81572,0.43904,0.90136,0.0006898,0.0006898,0.0006898
49,969.544,0.96338,0.55162,0.9155,0.9785,0.95555,0.98403,0.65344,1.14924,0.51445,0.97855,0.0006832,0.0006832,0.0006832
50,988.315,0.96839,0.56086,0.91343,0.98228,0.94837,0.98559,0.67494,1.09675,0.50273,0.96633,0.0006766,0.0006766,0.0006766
51,1007.22,0.95012,0.54961,0.9136,0.97389,0.96763,0.98715,0.71822,0.96866,0.45935,0.92977,0.00067,0.00067,0.00067
52,1026.57,0.92205,0.5291,0.903,0.97539,0.95575,0.98632,0.67167,1.09264,0.4942,0.96534,0.0006634,0.0006634,0.0006634
53,1047.15,0.95248,0.55524,0.91179,0.97133,0.9546,0.98564,0.7473,0.84443,0.44475,0.91114,0.0006568,0.0006568,0.0006568
54,1066.07,0.96612,0.56464,0.91343,0.98053,0.94627,0.98613,0.70437,1.01409,0.47375,0.94789,0.0006502,0.0006502,0.0006502
55,1085.21,0.94619,0.56368,0.91335,0.96977,0.94925,0.98109,0.62219,1.22961,0.53134,1.00062,0.0006436,0.0006436,0.0006436
56,1104.4,0.96139,0.54441,0.91228,0.98262,0.95244,0.98844,0.73416,0.90507,0.43883,0.91869,0.000637,0.000637,0.000637
57,1125.38,0.93659,0.53577,0.91003,0.97314,0.96263,0.98779,0.73582,0.90956,0.44186,0.91967,0.0006304,0.0006304,0.0006304
58,1144.81,0.93755,0.54171,0.9074,0.97665,0.96065,0.98573,0.76516,0.80527,0.41556,0.9022,0.0006238,0.0006238,0.0006238
59,1164.64,0.9257,0.54009,0.90942,0.98146,0.9621,0.98835,0.7633,0.80693,0.4204,0.89822,0.0006172,0.0006172,0.0006172
60,1184.26,0.92337,0.53149,0.90328,0.96911,0.95579,0.98599,0.71776,0.94939,0.45929,0.93209,0.0006106,0.0006106,0.0006106
61,1204.17,0.91229,0.52853,0.90599,0.97183,0.9544,0.98436,0.68815,1.03962,0.46801,0.95876,0.000604,0.000604,0.000604
62,1223.54,0.93153,0.53936,0.90966,0.97029,0.96385,0.98546,0.76342,0.81003,0.42395,0.89932,0.0005974,0.0005974,0.0005974
63,1243.09,0.91941,0.51791,0.90059,0.97308,0.94569,0.98195,0.68565,1.0234,0.47105,0.9505,0.0005908,0.0005908,0.0005908
64,1263.6,0.89862,0.51682,0.90071,0.97788,0.95142,0.98709,0.75675,0.8431,0.42948,0.90373,0.0005842,0.0005842,0.0005842
65,1283.44,0.9037,0.52007,0.90221,0.97021,0.95635,0.9858,0.60658,1.30856,0.52794,1.02603,0.0005776,0.0005776,0.0005776
66,1302.53,0.94132,0.5289,0.90905,0.96646,0.9543,0.98974,0.69383,1.04738,0.46727,0.94493,0.000571,0.000571,0.000571
67,1321.8,0.9073,0.51581,0.90183,0.96496,0.96871,0.98698,0.71936,0.94461,0.43786,0.93002,0.0005644,0.0005644,0.0005644
68,1342.06,0.93827,0.52697,0.90719,0.97784,0.95671,0.98518,0.6708,1.0718,0.46761,0.96226,0.0005578,0.0005578,0.0005578
69,1361.52,0.89634,0.50626,0.90196,0.98096,0.95393,0.98651,0.7279,0.92118,0.43456,0.92708,0.0005512,0.0005512,0.0005512
70,1380.75,0.89806,0.50594,0.8965,0.97273,0.95129,0.97785,0.65662,1.13797,0.47638,0.97586,0.0005446,0.0005446,0.0005446
71,1400.69,0.89847,0.50686,0.89968,0.98135,0.95654,0.98697,0.75531,0.82518,0.41626,0.90469,0.000538,0.000538,0.000538
72,1420.54,0.9118,0.51537,0.90101,0.983,0.95722,0.98884,0.77849,0.7761,0.39887,0.89194,0.0005314,0.0005314,0.0005314
73,1439.91,0.89574,0.50533,0.90171,0.97635,0.93523,0.97864,0.58691,1.37766,0.54152,1.04071,0.0005248,0.0005248,0.0005248
74,1458.66,0.88717,0.49783,0.90099,0.98639,0.95365,0.98575,0.73852,0.89533,0.42971,0.92209,0.0005182,0.0005182,0.0005182
75,1478.99,0.89082,0.49417,0.89877,0.98116,0.95977,0.98632,0.7687,0.81914,0.39742,0.90399,0.0005116,0.0005116,0.0005116
76,1499.29,0.88488,0.49605,0.89574,0.98138,0.96421,0.98877,0.76811,0.80278,0.4005,0.8985,0.000505,0.000505,0.000505
77,1520.63,0.90267,0.50647,0.90288,0.97598,0.97166,0.99011,0.75536,0.86259,0.41094,0.90541,0.0004984,0.0004984,0.0004984
78,1540.61,0.88534,0.48851,0.89512,0.97477,0.96597,0.98519,0.66495,1.13313,0.45983,0.97604,0.0004918,0.0004918,0.0004918
79,1560.13,0.87701,0.48477,0.89668,0.97841,0.9678,0.98829,0.71446,0.9671,0.43052,0.93166,0.0004852,0.0004852,0.0004852
80,1579.96,0.89031,0.49254,0.8961,0.97732,0.96552,0.98876,0.74352,0.87291,0.41096,0.91707,0.0004786,0.0004786,0.0004786
81,1599.13,0.87047,0.48173,0.89353,0.97675,0.9687,0.98987,0.77732,0.7833,0.38536,0.89279,0.000472,0.000472,0.000472
82,1619.93,0.86314,0.48565,0.89276,0.97646,0.96575,0.98724,0.74769,0.86627,0.41623,0.91382,0.0004654,0.0004654,0.0004654
83,1640.02,0.88654,0.49498,0.90082,0.98141,0.95863,0.98676,0.76707,0.81073,0.40273,0.89966,0.0004588,0.0004588,0.0004588
84,1659.33,0.85768,0.47888,0.89441,0.97609,0.9583,0.98328,0.71026,0.98732,0.43778,0.94102,0.0004522,0.0004522,0.0004522
85,1679,0.87319,0.4856,0.89635,0.97409,0.97074,0.98839,0.78755,0.75268,0.38159,0.88755,0.0004456,0.0004456,0.0004456
86,1699.86,0.90268,0.48815,0.90078,0.97796,0.96426,0.98803,0.76989,0.81638,0.38699,0.90173,0.000439,0.000439,0.000439
87,1719.21,0.84973,0.47929,0.8914,0.9735,0.96542,0.98542,0.78995,0.75432,0.38434,0.88843,0.0004324,0.0004324,0.0004324
88,1739.17,0.84737,0.47448,0.88958,0.97743,0.96315,0.99021,0.72805,0.93922,0.41553,0.92567,0.0004258,0.0004258,0.0004258
89,1759.55,0.88536,0.48554,0.89717,0.97841,0.96496,0.98828,0.7447,0.8872,0.40371,0.91796,0.0004192,0.0004192,0.0004192
