epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.9912,1.43554,3.69208,1.76509,0.82588,0.75,0.8745,0.62238,1.46695,1.4121,1.28731,0,0,0
2,15.3234,1.04479,2.9301,1.41037,0.79863,0.75,0.8746,0.6082,1.48705,1.44391,1.30167,1.17822e-06,1.17822e-06,1.17822e-06
3,27.9615,1.28861,4.2832,1.6173,0.74514,0.75,0.87465,0.6029,1.49984,1.49741,1.30686,2.33288e-06,2.33288e-06,2.33288e-06
