epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.428,1.99448,10.7863,0.00581,0.43834,0.52951,0.50296,0.33046,1.17276,4.24356,0.00363,0.000328502,0.000328502,0.000328502
2,56.2628,1.34871,2.1853,0.00361,0.8541,0.81764,0.8978,0.65681,0.98062,1.25712,0.00306,0.000660525,0.000660525,0.000660525
3,80.8228,1.42413,1.29575,0.00384,0.87056,0.82556,0.92294,0.63108,1.16703,0.93213,0.00373,0.000991228,0.000991228,0.000991228
4,105.244,1.31789,1.0676,0.00357,0.85898,0.85989,0.93665,0.54833,1.4528,0.91223,0.00426,0.00099406,0.00099406,0.00099406
5,129.685,1.23212,0.90363,0.00329,0.89486,0.84362,0.94058,0.55476,1.3305,0.81147,0.00388,0.00099208,0.00099208,0.00099208
6,154.021,1.20838,0.82408,0.00329,0.8774,0.88099,0.94603,0.66972,1.02022,0.73559,0.0031,0.0009901,0.0009901,0.0009901
7,178.528,1.27817,0.82607,0.00349,0.86852,0.89751,0.95174,0.58295,1.40564,0.71501,0.00459,0.00098812,0.00098812,0.00098812
8,203.1,1.19732,0.75484,0.00319,0.93492,0.89007,0.95808,0.70262,0.91883,0.56718,0.00277,0.00098614,0.00098614,0.00098614
9,227.425,1.08302,0.67617,0.00287,0.81429,0.86166,0.89898,0.36505,2.22949,1.15905,0.00823,0.00098416,0.00098416,0.00098416
10,251.434,1.08783,0.66356,0.00295,0.93805,0.89907,0.96012,0.66439,1.05125,0.55105,0.00311,0.00098218,0.00098218,0.00098218
11,275.48,1.08901,0.66738,0.00295,0.89276,0.89807,0.95869,0.55817,1.54753,0.68,0.00521,0.0009802,0.0009802,0.0009802
12,299.575,1.12244,0.63168,0.00294,0.91432,0.91978,0.96142,0.60416,1.39343,0.62662,0.00453,0.00097822,0.00097822,0.00097822
13,323.679,1.08123,0.58802,0.00285,0.9365,0.90962,0.9665,0.70619,1.00452,0.46459,0.0032,0.00097624,0.00097624,0.00097624
14,347.926,1.02738,0.58716,0.00276,0.94507,0.88443,0.95794,0.64719,1.10683,0.58907,0.00332,0.00097426,0.00097426,0.00097426
15,372.121,1.0256,0.57912,0.00273,0.94373,0.88752,0.96088,0.56056,1.39117,0.62173,0.00406,0.00097228,0.00097228,0.00097228
16,396.46,1.02245,0.58781,0.00275,0.90635,0.90734,0.94328,0.61128,1.31546,0.60645,0.00426,0.0009703,0.0009703,0.0009703
17,420.739,1.01987,0.57089,0.0027,0.93138,0.91935,0.9694,0.77493,0.74639,0.45503,0.00237,0.00096832,0.00096832,0.00096832
18,444.867,0.98525,0.56234,0.00263,0.91736,0.9092,0.95661,0.69257,1.03075,0.56597,0.00327,0.00096634,0.00096634,0.00096634
19,469.119,1.02692,0.5736,0.00268,0.93785,0.89304,0.96897,0.54596,1.62531,0.62809,0.00538,0.00096436,0.00096436,0.00096436
20,493.252,1.0631,0.56136,0.00274,0.96475,0.92332,0.97997,0.68352,0.99759,0.42631,0.00288,0.00096238,0.00096238,0.00096238
21,517.239,0.98203,0.53894,0.00258,0.91416,0.91083,0.96759,0.69598,0.98011,0.51304,0.0029,0.0009604,0.0009604,0.0009604
22,541.426,0.96928,0.5263,0.00257,0.95139,0.88916,0.96743,0.7124,0.91534,0.51669,0.00267,0.00095842,0.00095842,0.00095842
23,565.947,0.96922,0.52919,0.00259,0.95197,0.9227,0.97192,0.7805,0.74224,0.40542,0.00229,0.00095644,0.00095644,0.00095644
24,591.052,1.02621,0.52899,0.00271,0.94032,0.92723,0.97208,0.78174,0.78106,0.40879,0.00246,0.00095446,0.00095446,0.00095446
25,615.806,0.98767,0.51786,0.00256,0.94982,0.92797,0.9833,0.62552,1.27057,0.47488,0.0037,0.00095248,0.00095248,0.00095248
26,640.418,0.90816,0.49704,0.00238,0.91151,0.91732,0.96508,0.76705,0.78856,0.44619,0.00248,0.0009505,0.0009505,0.0009505
27,664.362,0.94862,0.52153,0.0025,0.9337,0.93412,0.97144,0.74725,0.82408,0.47486,0.00249,0.00094852,0.00094852,0.00094852
28,688.898,0.89046,0.49993,0.00237,0.94558,0.91751,0.97719,0.75116,0.78893,0.41427,0.00238,0.00094654,0.00094654,0.00094654
29,713.792,0.92711,0.503,0.00246,0.94035,0.91631,0.97023,0.75589,0.85367,0.42372,0.00269,0.00094456,0.00094456,0.00094456
30,738.479,0.90181,0.50602,0.00236,0.93869,0.92754,0.97503,0.79147,0.69705,0.38104,0.00215,0.00094258,0.00094258,0.00094258
31,762.963,0.88317,0.49112,0.00235,0.94699,0.92418,0.96916,0.79883,0.68537,0.42659,0.00214,0.0009406,0.0009406,0.0009406
32,787.382,0.9603,0.5251,0.00245,0.90357,0.85872,0.94629,0.75622,0.74459,0.6151,0.00231,0.00093862,0.00093862,0.00093862
33,811.55,0.91961,0.49584,0.00245,0.9199,0.92108,0.96294,0.56614,1.55149,0.57337,0.00515,0.00093664,0.00093664,0.00093664
34,835.419,0.93905,0.48505,0.00246,0.92002,0.93945,0.96437,0.77989,0.7032,0.38819,0.00214,0.00093466,0.00093466,0.00093466
35,859.756,0.90106,0.47621,0.0024,0.93768,0.90946,0.96502,0.78183,0.68649,0.46827,0.00208,0.00093268,0.00093268,0.00093268
36,884.309,0.84996,0.46197,0.00224,0.92417,0.94,0.96104,0.70526,0.92786,0.44319,0.00277,0.0009307,0.0009307,0.0009307
37,908.775,0.90713,0.48374,0.00241,0.9553,0.91246,0.97373,0.76722,0.79416,0.40348,0.00246,0.00092872,0.00092872,0.00092872
38,933.754,0.8859,0.47166,0.00235,0.94423,0.92568,0.97642,0.71031,0.94968,0.42669,0.00275,0.00092674,0.00092674,0.00092674
39,958.915,0.86709,0.46733,0.00232,0.91977,0.91539,0.95817,0.73134,0.86393,0.51411,0.00254,0.00092476,0.00092476,0.00092476
40,984.101,0.86751,0.45643,0.00229,0.95515,0.93356,0.98092,0.817,0.62964,0.33651,0.00194,0.00092278,0.00092278,0.00092278
41,1008.9,0.86401,0.4462,0.00231,0.91348,0.93006,0.95406,0.7771,0.68031,0.45798,0.00207,0.0009208,0.0009208,0.0009208
42,1033.71,0.85524,0.44829,0.0022,0.92225,0.90496,0.95851,0.76319,0.7423,0.52754,0.00225,0.00091882,0.00091882,0.00091882
43,1058.22,0.87973,0.46292,0.00229,0.94306,0.92316,0.97873,0.81306,0.64037,0.40161,0.00198,0.00091684,0.00091684,0.00091684
44,1083.01,0.86433,0.47742,0.00227,0.94866,0.92687,0.96258,0.80188,0.61551,0.37838,0.00189,0.00091486,0.00091486,0.00091486
45,1107.39,0.85774,0.46169,0.00225,0.94092,0.92363,0.97241,0.75529,0.78674,0.40567,0.00235,0.00091288,0.00091288,0.00091288
46,1131.56,0.83257,0.43067,0.00215,0.95076,0.9478,0.98403,0.78216,0.75103,0.35342,0.00225,0.0009109,0.0009109,0.0009109
47,1155.73,0.90091,0.46655,0.00235,0.96462,0.94142,0.98521,0.82375,0.62824,0.30547,0.00194,0.00090892,0.00090892,0.00090892
48,1180.13,0.86749,0.4644,0.00231,0.94582,0.94585,0.97254,0.81147,0.62434,0.31238,0.00193,0.00090694,0.00090694,0.00090694
49,1204.32,0.85076,0.43906,0.00223,0.96864,0.93426,0.98384,0.80663,0.65909,0.32986,0.00201,0.00090496,0.00090496,0.00090496
50,1228.11,0.8533,0.4579,0.0023,0.92645,0.92041,0.95674,0.75193,0.74325,0.49025,0.00225,0.00090298,0.00090298,0.00090298
51,1251.77,0.83386,0.45669,0.0022,0.94489,0.94112,0.98208,0.62065,1.27681,0.44674,0.00371,0.000901,0.000901,0.000901
52,1275.29,0.86053,0.44931,0.00225,0.95059,0.94288,0.98314,0.73425,0.90171,0.39712,0.00269,0.00089902,0.00089902,0.00089902
53,1298.73,0.87024,0.4312,0.00227,0.90668,0.94448,0.94396,0.79883,0.58533,0.42834,0.0018,0.00089704,0.00089704,0.00089704
54,1322.24,0.8101,0.42549,0.00211,0.96421,0.92687,0.97732,0.78457,0.71639,0.37386,0.00217,0.00089506,0.00089506,0.00089506
55,1346.92,0.81026,0.43951,0.0021,0.919,0.93386,0.96274,0.71381,0.92141,0.47621,0.00269,0.00089308,0.00089308,0.00089308
56,1371.65,0.83242,0.43284,0.00219,0.95855,0.9356,0.96904,0.77664,0.7285,0.35383,0.00219,0.0008911,0.0008911,0.0008911
57,1396.35,0.89394,0.44628,0.00237,0.92374,0.94002,0.95233,0.73913,0.7865,0.41286,0.00235,0.00088912,0.00088912,0.00088912
58,1420.47,0.80919,0.42071,0.00207,0.95311,0.9328,0.97327,0.80877,0.67621,0.37444,0.00212,0.00088714,0.00088714,0.00088714
59,1444.47,0.81754,0.4325,0.00214,0.94947,0.93175,0.97386,0.8063,0.64447,0.37416,0.00198,0.00088516,0.00088516,0.00088516
60,1468.36,0.80308,0.42283,0.00211,0.91593,0.91487,0.94865,0.73962,0.79218,0.50663,0.00236,0.00088318,0.00088318,0.00088318
61,1492.06,0.85832,0.45026,0.00225,0.94041,0.94254,0.97238,0.77162,0.75177,0.37505,0.00224,0.0008812,0.0008812,0.0008812
62,1516.07,0.84826,0.43393,0.00219,0.92136,0.94418,0.95769,0.77848,0.69701,0.46439,0.00219,0.00087922,0.00087922,0.00087922
63,1540.37,0.82637,0.406,0.00218,0.95004,0.93642,0.9745,0.81229,0.61895,0.34426,0.0019,0.00087724,0.00087724,0.00087724
64,1564.55,0.84608,0.42795,0.00219,0.96606,0.94058,0.98467,0.79929,0.68479,0.29376,0.0021,0.00087526,0.00087526,0.00087526
65,1589.25,0.80519,0.41403,0.00211,0.93223,0.92373,0.94907,0.6727,1.03328,0.54087,0.00302,0.00087328,0.00087328,0.00087328
66,1613.18,0.80669,0.42003,0.00213,0.94543,0.93797,0.9706,0.77531,0.74079,0.38067,0.00223,0.0008713,0.0008713,0.0008713
67,1637.24,0.81248,0.41432,0.00209,0.93617,0.9442,0.96797,0.81667,0.59999,0.34564,0.00187,0.00086932,0.00086932,0.00086932
68,1661.4,0.84832,0.43706,0.00224,0.94005,0.93166,0.9642,0.76893,0.73128,0.41263,0.00219,0.00086734,0.00086734,0.00086734
69,1685.43,0.76976,0.4087,0.00202,0.96691,0.94331,0.98089,0.74613,0.8631,0.3462,0.00255,0.00086536,0.00086536,0.00086536
70,1709.53,0.79621,0.42136,0.00206,0.94611,0.93413,0.95996,0.7557,0.7446,0.38315,0.00222,0.00086338,0.00086338,0.00086338
71,1733.54,0.795,0.41681,0.00208,0.96279,0.93225,0.97675,0.83207,0.57457,0.32116,0.00178,0.0008614,0.0008614,0.0008614
72,1757.99,0.79557,0.42191,0.00211,0.96529,0.93027,0.98112,0.8218,0.61527,0.32735,0.00189,0.00085942,0.00085942,0.00085942
73,1782.13,0.79006,0.42527,0.00205,0.95764,0.93961,0.97692,0.76007,0.79821,0.35979,0.00237,0.00085744,0.00085744,0.00085744
74,1806.34,0.81323,0.4236,0.00215,0.97029,0.94659,0.98275,0.79517,0.69439,0.30335,0.00207,0.00085546,0.00085546,0.00085546
75,1830.68,0.78441,0.40485,0.00206,0.96104,0.93418,0.97769,0.8301,0.58898,0.29962,0.00183,0.00085348,0.00085348,0.00085348
76,1854.7,0.81437,0.41843,0.00213,0.92567,0.94739,0.9615,0.79281,0.64449,0.38486,0.00196,0.0008515,0.0008515,0.0008515
77,1878.43,0.78971,0.39671,0.00203,0.95253,0.95199,0.98344,0.80541,0.7005,0.3218,0.0022,0.00084952,0.00084952,0.00084952
78,1902.51,0.76195,0.40417,0.00201,0.95126,0.93774,0.97009,0.76549,0.77606,0.36549,0.00232,0.00084754,0.00084754,0.00084754
79,1926.68,0.79849,0.40557,0.00205,0.95314,0.93146,0.98042,0.82013,0.6062,0.33556,0.00187,0.00084556,0.00084556,0.00084556
80,1951.31,0.78109,0.4008,0.00202,0.92347,0.92691,0.94335,0.78907,0.62273,0.42762,0.00192,0.00084358,0.00084358,0.00084358
81,1975.98,0.78131,0.39508,0.00203,0.95785,0.93496,0.97923,0.78449,0.70834,0.35604,0.00213,0.0008416,0.0008416,0.0008416
82,2000.2,0.807,0.41927,0.00206,0.94617,0.92792,0.97451,0.82713,0.57326,0.33154,0.00177,0.00083962,0.00083962,0.00083962
83,2024.18,0.75801,0.39997,0.00202,0.93685,0.93385,0.96244,0.80393,0.63331,0.35911,0.00197,0.00083764,0.00083764,0.00083764
84,2048.1,0.77259,0.38437,0.00201,0.94368,0.94652,0.96506,0.78001,0.71912,0.36766,0.00217,0.00083566,0.00083566,0.00083566
