epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9979,2.11216,9.35089,0.00797,0.29597,0.34627,0.28986,0.21986,1.11446,4.48744,0.00506,0.000219269,0.000219269,0.000219269
2,76.0665,1.30754,2.05469,0.00442,0.55399,0.53237,0.52739,0.24957,1.90472,2.01149,0.00834,0.000440987,0.000440987,0.000440987
3,100.683,1.18972,0.96532,0.00406,0.73621,0.7049,0.73995,0.49008,1.26449,1.16374,0.00609,0.000661826,0.000661826,0.000661826
4,125.362,1.18133,0.72871,0.00397,0.74222,0.75062,0.79205,0.44898,1.56444,0.99232,0.00703,0.000881785,0.000881785,0.000881785
5,149.346,1.11904,0.62196,0.00378,0.7559,0.7667,0.81416,0.59057,1.098,0.82342,0.00544,0.000992096,0.000992096,0.000992096
6,173.842,1.08621,0.60555,0.00362,0.81141,0.79461,0.86042,0.49228,1.63618,0.88324,0.00781,0.00099012,0.00099012,0.00099012
7,198.045,1.10807,0.55713,0.00375,0.81306,0.81473,0.88137,0.57879,1.32152,0.732,0.00632,0.000988144,0.000988144,0.000988144
8,222.385,1.04051,0.51167,0.00347,0.7783,0.6883,0.75326,0.31566,2.24242,1.2872,0.01124,0.000986168,0.000986168,0.000986168
9,246.537,0.99939,0.49924,0.00338,0.81163,0.7691,0.84424,0.63458,0.98609,0.70956,0.00478,0.000984192,0.000984192,0.000984192
10,270.828,0.9649,0.46991,0.00322,0.82871,0.82248,0.87557,0.62056,1.11329,0.68893,0.00531,0.000982216,0.000982216,0.000982216
11,294.753,1.00555,0.49323,0.00343,0.83284,0.79803,0.86866,0.65506,0.98394,0.6375,0.00479,0.00098024,0.00098024,0.00098024
12,319.002,1.02314,0.46587,0.00344,0.83722,0.8044,0.8726,0.66787,0.93695,0.66902,0.00453,0.000978264,0.000978264,0.000978264
13,343.387,0.99298,0.44785,0.00333,0.80536,0.79298,0.8543,0.52518,1.47866,0.71143,0.00667,0.000976288,0.000976288,0.000976288
14,367.721,0.95933,0.42981,0.00321,0.8243,0.84874,0.89862,0.68658,0.94533,0.57483,0.0046,0.000974312,0.000974312,0.000974312
15,391.843,0.97124,0.43251,0.00324,0.84191,0.83858,0.90096,0.5423,1.54682,0.69021,0.0073,0.000972336,0.000972336,0.000972336
16,416.145,0.95026,0.4387,0.00318,0.84067,0.77302,0.85516,0.54393,1.4138,0.86719,0.00662,0.00097036,0.00097036,0.00097036
17,440.39,0.96936,0.43029,0.00324,0.85622,0.86521,0.91353,0.72388,0.87309,0.56087,0.00423,0.000968384,0.000968384,0.000968384
18,464.642,0.92677,0.4126,0.0031,0.85484,0.83648,0.90297,0.68914,0.94104,0.54489,0.00459,0.000966408,0.000966408,0.000966408
19,488.804,0.93955,0.4032,0.00312,0.85016,0.82005,0.88416,0.65005,1.01305,0.57813,0.00483,0.000964432,0.000964432,0.000964432
20,512.937,0.9218,0.39393,0.00306,0.85942,0.85182,0.91668,0.57274,1.48576,0.61911,0.00696,0.000962456,0.000962456,0.000962456
21,537.209,0.88036,0.37748,0.00291,0.83325,0.77731,0.84886,0.50328,1.54791,0.78696,0.00686,0.00096048,0.00096048,0.00096048
22,561.567,0.89978,0.39656,0.00302,0.83319,0.87659,0.91338,0.67489,1.05621,0.56562,0.00506,0.000958504,0.000958504,0.000958504
23,585.913,0.92247,0.39185,0.0031,0.84933,0.88145,0.92001,0.73599,0.83022,0.50357,0.004,0.000956528,0.000956528,0.000956528
24,610.329,0.91235,0.39908,0.00306,0.85191,0.86651,0.91449,0.69658,0.91686,0.51318,0.00434,0.000954552,0.000954552,0.000954552
25,634.655,0.86641,0.37989,0.00286,0.8234,0.86985,0.90442,0.67203,0.98603,0.56832,0.00464,0.000952576,0.000952576,0.000952576
26,658.925,0.89192,0.38064,0.003,0.86494,0.86447,0.9124,0.71607,0.84979,0.53571,0.00407,0.0009506,0.0009506,0.0009506
27,683.105,0.9186,0.37684,0.00309,0.8702,0.86203,0.93134,0.73596,0.83677,0.49034,0.00405,0.000948623,0.000948623,0.000948623
28,707.445,0.88648,0.37357,0.00292,0.88191,0.85599,0.92974,0.74723,0.81908,0.45589,0.00408,0.000946647,0.000946647,0.000946647
